City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Lagoa,PT,39.05,-27.9833,57.29,76,41,13.44,scattered clouds
158,Baghdad,IQ,33.3406,44.4009,73.4,33,0,10.36,clear sky
159,Coquimbo,CL,-29.9533,-71.3436,64.4,68,20,13.8,few clouds
160,Puerto Escondido,MX,15.85,-97.0667,87.8,79,1,8.05,clear sky
161,Carnarvon,AU,-24.8667,113.6333,73.4,88,0,4.61,clear sky
162,Soyo,AO,-6.1349,12.3689,78.57,85,100,6.82,overcast clouds
163,Henties Bay,NA,-22.116,14.2845,66.51,78,83,6.91,broken clouds
164,Manggar,ID,-2.8833,108.2667,78.89,84,100,3.49,overcast clouds
165,Yellowknife,CA,62.456,-114.3525,18.0,62,90,8.05,overcast clouds
166,Sitka,US,57.0531,-135.33,37.4,87,90,14.97,heavy intensity rain
167,Playas,EC,-2.6333,-80.3833,78.85,73,94,9.89,overcast clouds
168,Dikson,RU,73.5069,80.5464,-23.78,90,95,4.68,overcast clouds
169,Alamosa,US,37.4695,-105.87,39.2,14,1,3.44,clear sky
170,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,77,20,8.05,few clouds
171,Mogok,MM,22.9167,96.5,69.96,38,87,3.65,overcast clouds
172,Leh,IN,34.1667,77.5833,29.97,42,18,5.03,few clouds
173,Dalvik,IS,65.9702,-18.5286,39.2,52,20,23.02,few clouds
174,Gedo,ET,9.0167,37.45,61.93,45,100,2.8,overcast clouds
175,Harnosand,SE,62.6323,17.9379,42.01,56,0,10.36,clear sky
176,Arlit,NE,18.7369,7.3853,79.32,8,0,12.8,clear sky
177,Biograd Na Moru,HR,43.9433,15.4519,61.0,67,0,5.75,clear sky
178,Kidal,ML,18.4411,1.4078,82.67,6,0,10.8,clear sky
179,Stirion,GR,38.4,22.7167,54.0,64,6,5.01,clear sky
180,Vyartsilya,RU,62.1764,30.693,34.7,86,9,8.81,clear sky
181,Ambovombe,MG,-25.1667,46.0833,70.52,69,17,11.27,few clouds
182,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,18.41,scattered clouds
183,Ahipara,NZ,-35.1667,173.1667,60.6,89,31,8.37,light rain
184,Kamaishi,JP,39.2667,141.8833,42.73,82,3,6.6,clear sky
185,Nouakchott,MR,18.0858,-15.9785,71.6,68,7,20.71,clear sky
186,Monkey Bay,MW,-14.0728,34.9201,74.59,77,3,13.13,light rain
187,Gogrial,SS,8.5332,28.1004,92.14,16,93,3.98,overcast clouds
188,Mafinga,TZ,-7.25,35.0667,66.06,93,92,2.24,moderate rain
189,Emerald,AU,-23.5333,148.1667,64.4,88,0,5.75,clear sky
