City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,La Asuncion,VE,79.39,broken clouds,11.0333,-63.8628,Colinas de Matasiete
401,Punta Alta,AR,72.73,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
403,Fare,PF,81.72,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
404,Bacolod,PH,78.62,overcast clouds,10.6667,122.95,Planta Hotel & Residences
405,Caucaia,BR,84.2,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
408,Matara,LK,78.06,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
409,Oluta,MX,84.2,scattered clouds,17.9167,-94.9,Hotel Arcos del Parque
411,Aguimes,ES,73.4,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
414,Luanda,AO,82.4,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
417,Cajuru,BR,86.0,broken clouds,-21.2753,-47.3042,Hotel Tropical Cajuru
419,Pozo Colorado,PY,88.18,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
422,Am Timan,TD,88.93,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
424,Ambon,ID,80.29,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
427,Bani,DO,84.0,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
430,Axim,GH,80.56,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
439,Majene,ID,78.42,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
442,Lianzhou,CN,71.22,few clouds,24.7811,112.3825,Qingcheng Tourism Industry
449,Ruwi,OM,78.8,clear sky,23.5996,58.5507,Al Falaj Hotel
450,Soc Trang,VN,78.8,few clouds,9.6033,105.98,Viet Nghia Hotel
451,Matriz De Camaragibe,BR,87.8,few clouds,-9.1517,-35.5333,Apart. japaratinga
454,Mandaguacu,BR,80.6,few clouds,-23.3472,-52.0953,Comaq Palace Hotel
456,Cidreira,BR,70.97,broken clouds,-30.1811,-50.2056,Hotel Castelo
