City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Maragogi,BR,2021-03-29 22:23:04,-9.0122,-35.2225,79.14,81,46,7.85
117,Hami,CN,2021-03-29 22:23:05,42.8,93.45,53.19,31,100,17.6
118,Hasaki,JP,2021-03-29 22:23:05,35.7333,140.8333,59.0,82,75,5.75
119,Vao,NC,2021-03-29 22:23:05,-22.6667,167.4833,78.98,67,100,8.16
120,Muros,ES,2021-03-29 22:23:06,42.7762,-9.0603,57.99,82,99,5.01
121,Westerly,US,2021-03-29 22:23:06,41.3776,-71.8273,51.8,29,1,6.91
122,Seoul,KR,2021-03-29 22:19:45,37.5683,126.9778,37.4,93,75,1.14
123,Lengshuitan,CN,2021-03-29 22:23:06,26.4111,111.5956,71.85,90,36,1.14
124,Abu Samrah,SY,2021-03-29 22:23:07,35.3029,37.1841,51.48,39,2,3.67
125,Ilhabela,BR,2021-03-29 22:23:07,-23.7781,-45.3581,79.23,87,19,3.18
126,Doha,QA,2021-03-29 22:23:07,25.2867,51.5333,69.8,52,0,12.66
127,Redlands,US,2021-03-29 22:21:49,34.0556,-117.1825,86.0,11,1,6.91
128,Sao Sepe,BR,2021-03-29 22:23:08,-30.1606,-53.5653,68.0,83,40,2.3
129,Sept-Iles,CA,2021-03-29 22:18:19,50.2001,-66.3821,30.2,59,40,24.16
130,Raymondville,US,2021-03-29 22:23:08,26.4815,-97.7831,66.2,88,90,5.75
131,Manzanillo,CU,2021-03-29 22:23:08,20.3433,-77.1167,86.38,50,43,7.31
132,Ustka,PL,2021-03-29 22:23:09,54.5805,16.8619,45.66,92,100,16.28
133,Ingham,US,2021-03-29 22:23:09,42.6,-84.3833,52.0,50,1,11.5
134,Hermanus,ZA,2021-03-29 22:23:09,-34.4187,19.2345,66.0,61,32,3.29
135,Mossendjo,CG,2021-03-29 22:23:10,-2.9506,12.7261,69.67,98,73,1.77
136,Longyearbyen,SJ,2021-03-29 22:22:36,78.2186,15.6401,26.6,74,75,26.46
137,Skegness,GB,2021-03-29 22:23:10,53.1436,0.3363,55.0,93,0,5.75
138,Sabinas Hidalgo,MX,2021-03-29 22:23:10,26.5,-100.1667,73.89,41,99,13.2
139,Narsaq,GL,2021-03-29 22:23:11,60.9167,-46.05,24.8,42,75,4.61
140,Sainte-Marie,RE,2021-03-29 22:23:11,-20.8968,55.5496,73.4,94,0,5.75
141,Sao Joao Da Barra,BR,2021-03-29 22:23:11,-21.6403,-41.0511,84.2,65,40,11.5
142,Porkhov,RU,2021-03-29 22:20:09,57.765,29.5561,42.8,87,75,13.42
143,Yar-Sale,RU,2021-03-29 22:23:12,66.8333,70.8333,10.42,95,100,7.0
144,Marawi,PH,2021-03-29 22:23:12,7.9986,124.2928,75.99,90,97,5.01
145,College,US,2021-03-29 22:21:46,64.8569,-147.8028,32.0,69,90,5.75
146,Carnarvon,AU,2021-03-29 22:23:12,-24.8667,113.6333,77.0,88,76,8.05
147,Petropavlovsk-Kamchatskiy,RU,2021-03-29 22:23:13,53.0452,158.6483,30.2,55,100,4.5
148,Aberfoyle,AU,2021-03-29 22:23:13,-30.2667,152.0167,50.36,91,91,5.26
149,Bengkulu,ID,2021-03-29 22:23:13,-3.8004,102.2655,75.34,89,79,2.89
150,Xining,CN,2021-03-29 22:23:14,36.6167,101.7667,45.95,39,100,1.72
151,Sitka,US,2021-03-29 22:23:14,57.0531,-135.33,37.4,93,90,5.75
152,Liwale,TZ,2021-03-29 22:23:14,-9.7667,37.9333,68.25,98,91,4.99
153,Hithadhoo,MV,2021-03-29 22:23:15,-0.6,73.0833,83.16,75,100,26.37
154,Bambous Virieux,MU,2021-03-29 22:23:15,-20.3428,57.7575,75.99,88,20,6.91
155,Ndola,ZM,2021-03-29 22:23:15,-12.9587,28.6366,59.07,98,19,5.46
156,Haines Junction,CA,2021-03-29 22:23:15,60.7522,-137.5108,33.8,32,93,5.75
157,Lorengau,PG,2021-03-29 22:23:16,-2.0226,147.2712,81.63,81,99,4.94
158,Hofn,IS,2021-03-29 22:23:16,64.2539,-15.2082,29.53,62,0,17.16
159,Beidao,CN,2021-03-29 22:23:16,34.5686,105.8933,52.92,67,2,3.65
160,Notodden,NO,2021-03-29 22:23:17,59.5594,9.2585,42.01,81,39,1.01
161,Khandyga,RU,2021-03-29 22:23:17,62.6667,135.6,14.05,88,100,3.42
162,Bansi,IN,2021-03-29 22:22:14,27.1833,82.9333,73.22,21,1,4.12
163,Chokurdakh,RU,2021-03-29 22:23:17,70.6333,147.9167,-4.67,99,97,5.73
164,Kandrian,PG,2021-03-29 22:23:18,-6.2167,149.55,79.32,87,98,6.69
165,Port Alfred,ZA,2021-03-29 22:22:37,-33.5906,26.891,68.47,88,88,23.67
166,San Policarpo,PH,2021-03-29 22:23:18,12.1791,125.5072,79.95,81,100,10.33
167,Petatlan,MX,2021-03-29 22:23:18,17.5167,-101.2667,86.0,66,75,11.5
168,Te Anau,NZ,2021-03-29 22:23:19,-45.4167,167.7167,55.62,76,96,0.81
169,Mahebourg,MU,2021-03-29 22:23:04,-20.4081,57.7,75.2,88,20,6.91
170,Tuktoyaktuk,CA,2021-03-29 22:23:19,69.4541,-133.0374,-9.4,84,20,16.11
171,Arrifes,PT,2021-03-29 22:23:19,37.7667,-25.7,60.8,82,40,13.8
172,Zhigansk,RU,2021-03-29 22:23:20,66.7697,123.3711,16.34,97,100,6.71
173,Karatau,KZ,2021-03-29 22:23:20,43.1667,70.4667,37.58,83,93,10.29
174,Port Blair,IN,2021-03-29 22:23:20,11.6667,92.75,80.37,78,94,3.58
175,Dunedin,NZ,2021-03-29 22:23:20,-45.8742,170.5036,57.99,84,100,11.01
176,Cabedelo,BR,2021-03-29 22:23:21,-6.9811,-34.8339,80.6,89,20,3.44
177,Kaitangata,NZ,2021-03-29 22:23:21,-46.2817,169.8464,61.0,80,100,5.01
178,Axim,GH,2021-03-29 22:23:21,4.8699,-2.2405,79.47,87,0,6.51
179,Richards Bay,ZA,2021-03-29 22:23:22,-28.783,32.0377,65.89,83,62,4.88
180,Edirne,TR,2021-03-29 22:23:22,41.6772,26.556,43.21,72,51,3.4
181,Prieska,ZA,2021-03-29 22:23:22,-29.6641,22.7474,73.54,24,0,3.44
182,Cuamba,MZ,2021-03-29 22:23:23,-14.8031,36.5372,65.75,91,9,6.67
183,Kotido,UG,2021-03-29 22:23:23,2.9806,34.1331,77.83,42,48,14.45
184,La Romana,DO,2021-03-29 22:23:23,18.4273,-68.9728,82.4,65,40,11.5
185,Rincon,US,2021-03-29 22:23:24,32.296,-81.2354,66.2,22,20,12.66
186,Zinder,NE,2021-03-29 22:23:24,13.8072,8.9881,73.18,8,0,11.34
187,Severo-Kurilsk,RU,2021-03-29 22:23:24,50.6789,156.125,35.56,96,100,20.92
188,Biak,ID,2021-03-29 22:23:25,-0.9131,122.8766,76.33,83,97,1.77
189,Alice Springs,AU,2021-03-29 22:23:25,-23.7,133.8833,62.6,59,0,1.14
190,Matara,LK,2021-03-29 22:23:25,5.9485,80.5353,72.91,91,100,9.33
191,Dhangadhi,NP,2021-03-29 22:23:26,28.7079,80.5961,73.02,27,19,3.2
192,Dikson,RU,2021-03-29 22:23:26,73.5069,80.5464,-27.89,100,37,7.7
193,Marigot,MF,2021-03-29 22:23:26,18.0667,-63.0833,80.6,69,20,11.5
194,Port Lincoln,AU,2021-03-29 22:23:27,-34.7333,135.8667,65.08,80,2,5.61
195,Florence,IT,2021-03-29 22:22:17,43.7667,11.25,57.99,66,0,3.44
196,Kavaratti,IN,2021-03-29 22:23:27,10.5669,72.642,82.13,75,100,13.2
197,Victoria,HK,2021-03-29 22:20:20,22.2855,114.1577,78.01,85,25,6.89
198,Magadan,RU,2021-03-29 22:23:27,59.5667,150.8,16.95,77,100,7.67
199,Fort Nelson,CA,2021-03-29 22:23:28,58.8053,-122.7002,19.4,53,20,6.91
200,Khatanga,RU,2021-03-29 22:23:28,71.9667,102.5,-25.47,97,27,11.74
201,Nueva Loja,EC,2021-03-29 22:23:28,0.0847,-76.8828,82.4,74,40,6.91
202,Safaga,EG,2021-03-29 22:23:29,26.7292,33.9365,62.6,45,0,13.8
203,Antofagasta,CL,2021-03-29 22:22:40,-23.65,-70.4,64.4,72,0,14.97
204,Pevek,RU,2021-03-29 22:23:29,69.7008,170.3133,-9.29,97,100,4.43
205,Grindavik,IS,2021-03-29 22:23:29,63.8424,-22.4338,30.2,64,0,16.11
206,Kieta,PG,2021-03-29 22:23:30,-6.2167,155.6333,83.26,71,100,3.42
207,Mayo,US,2021-03-29 22:23:30,38.8876,-76.5119,59.0,35,1,9.22
208,Hearst,CA,2021-03-29 22:23:30,49.6835,-83.6665,35.6,35,99,9.22
209,Koindu,GN,2021-03-29 22:23:31,8.4386,-10.3253,73.36,89,78,3.4
210,Bend,US,2021-03-29 22:23:26,44.0582,-121.3153,46.4,23,1,16.11
211,Pagudpud,PH,2021-03-29 22:23:31,18.5616,120.7868,73.4,94,40,2.3
212,High Level,CA,2021-03-29 22:23:31,58.5169,-117.136,12.2,67,40,10.36
213,Son La,VN,2021-03-29 22:19:05,21.3167,103.9,73.42,43,76,2.04
214,Visby,SE,2021-03-29 22:23:32,57.6409,18.296,48.2,87,100,19.57
215,Hof,DE,2021-03-29 22:23:32,50.3167,11.9167,46.99,54,84,4.0
216,Dorado,PR,2021-03-29 22:23:32,18.4588,-66.2677,79.0,83,75,12.66
217,Pringsewu,ID,2021-03-29 22:23:32,-5.3582,104.9744,72.88,97,88,2.93
218,Bonavista,CA,2021-03-29 22:23:33,48.6499,-53.1147,37.99,100,100,18.41
219,Aklavik,CA,2021-03-29 22:23:33,68.2191,-135.0107,3.2,55,40,8.05
220,Bud,US,2021-03-29 22:23:33,39.447,-86.1758,59.0,41,0,11.1
221,Norman Wells,CA,2021-03-29 22:23:34,65.282,-126.8329,10.4,48,75,11.5
222,Srandakan,ID,2021-03-29 22:23:34,-7.9386,110.2506,77.23,90,94,1.43
223,Havoysund,NO,2021-03-29 22:23:34,70.9963,24.6622,35.6,80,40,8.05
224,Shetpe,KZ,2021-03-29 22:23:35,44.1667,52.1167,37.78,67,20,3.51
225,Bethel,US,2021-03-29 22:23:35,41.3712,-73.414,53.6,24,1,8.05
226,Mnogovershinnyy,RU,2021-03-29 22:23:35,53.9353,139.9242,24.73,95,100,5.64
227,Plyussa,RU,2021-03-29 22:23:36,58.4308,29.3654,42.85,83,100,14.67
228,Nouadhibou,MR,2021-03-29 22:23:36,20.931,-17.0347,64.4,88,25,16.11
229,San Carlos De Bariloche,AR,2021-03-29 22:21:31,-41.1456,-71.3082,77.0,7,0,10.36
230,Dubna,RU,2021-03-29 22:23:36,56.7333,37.1667,29.07,97,50,8.57
231,Neepawa,CA,2021-03-29 22:23:37,50.2289,-99.4664,41.0,87,90,17.27
232,Araouane,ML,2021-03-29 22:23:37,18.9048,-3.5265,78.06,8,11,9.53
233,Butte,US,2021-03-29 22:23:37,39.6499,-121.5677,72.0,24,1,10.36
234,Dawei,MM,2021-03-29 22:23:37,14.0833,98.2,75.2,79,35,2.08
235,Vardo,NO,2021-03-29 22:23:38,70.3705,31.1107,35.6,80,75,9.22
236,General Roca,AR,2021-03-29 22:23:38,-39.0333,-67.5833,80.6,24,0,4.61
237,Muisne,EC,2021-03-29 22:23:38,0.6,-80.0333,80.6,89,75,4.61
238,Sobolevo,RU,2021-03-29 22:23:39,54.4299,31.8996,35.42,99,100,8.01
239,Madawaska,US,2021-03-29 22:23:39,47.3561,-68.3288,28.4,59,100,14.97
240,Lebu,CL,2021-03-29 22:23:39,-37.6167,-73.65,59.68,82,8,2.8
241,Byron Bay,AU,2021-03-29 22:23:39,-28.65,153.6167,68.0,94,90,6.91
242,Baruun-Urt,MN,2021-03-29 22:23:40,46.6806,113.2792,37.53,26,100,11.54
243,Deputatskiy,RU,2021-03-29 22:23:40,69.3,139.9,-5.06,98,84,3.0
244,Lakhipur,IN,2021-03-29 22:23:40,26.0299,90.3041,71.89,48,32,3.06
245,Ilulissat,GL,2021-03-29 22:23:41,69.2167,-51.1,17.6,45,40,14.97
246,Fortuna,US,2021-03-29 22:23:41,40.5982,-124.1573,55.99,46,1,25.32
247,Uspenka,UA,2021-03-29 22:23:41,48.3903,39.1619,35.91,85,83,6.46
248,Spearfish,US,2021-03-29 22:23:42,44.4908,-103.8594,43.0,30,1,25.32
249,Nelson Bay,AU,2021-03-29 22:23:42,-32.7167,152.15,66.99,94,90,8.05
250,Maseru,LS,2021-03-29 22:23:42,-29.3167,27.4833,54.68,84,60,4.16
251,Malibu,US,2021-03-29 22:19:33,34.005,-118.8101,82.99,28,9,7.0
252,Killybegs,IE,2021-03-29 22:23:43,54.6333,-8.45,52.0,89,9,11.01
253,Kwinana,AU,2021-03-29 22:23:43,-32.25,115.7667,72.0,94,6,5.75
254,Saint-Pierre,RE,2021-03-29 22:23:43,-21.3393,55.4781,77.0,78,0,6.91
255,Kalabo,ZM,2021-03-29 22:23:44,-14.97,22.6814,68.09,75,54,7.45
256,Esperance,AU,2021-03-29 22:23:44,-33.8667,121.9,82.4,24,91,18.41
257,Zalantun,CN,2021-03-29 22:23:44,48.0,122.7167,30.25,70,1,6.17
258,Ibra,OM,2021-03-29 22:23:45,22.6906,58.5334,76.93,30,75,2.28
259,Mount Isa,AU,2021-03-29 22:23:45,-20.7333,139.5,78.8,34,0,10.36
260,Malazgirt,TR,2021-03-29 22:23:45,39.1427,42.5401,27.59,67,0,3.18
261,Yulara,AU,2021-03-29 22:23:46,-25.2406,130.9889,66.2,52,0,8.05
262,Carballo,ES,2021-03-29 22:23:46,43.213,-8.691,59.0,67,0,2.3
263,Lompoc,US,2021-03-29 22:23:46,34.6391,-120.4579,61.0,77,1,20.71
264,Sulangan,PH,2021-03-29 22:23:46,11.1373,123.7228,80.92,78,59,10.07
265,Pisco,PE,2021-03-29 22:23:47,-13.7,-76.2167,73.4,64,0,21.85
266,Katsuura,JP,2021-03-29 22:23:47,35.1333,140.3,62.01,100,75,4.61
267,Along,IN,2021-03-29 22:23:47,28.1667,94.7667,57.16,36,5,1.86
268,Saint Anthony,US,2021-03-29 22:23:48,45.0205,-93.218,73.4,28,1,26.46
269,Buala,SB,2021-03-29 22:23:48,-8.145,159.5921,83.1,74,16,3.02
270,Vila Franca Do Campo,PT,2021-03-29 22:23:48,37.7167,-25.4333,60.8,82,40,13.8
271,Alofi,NU,2021-03-29 22:23:48,-19.0595,-169.9187,84.2,74,11,11.5
272,Geraldton,AU,2021-03-29 22:23:49,-28.7667,114.6,75.2,73,75,5.75
273,Souillac,MU,2021-03-29 22:23:49,-20.5167,57.5167,75.2,88,20,6.91
274,Luderitz,NA,2021-03-29 22:23:49,-26.6481,15.1594,61.79,84,0,8.43
275,Stepnyak,KZ,2021-03-29 22:23:49,52.8339,70.7803,9.09,97,34,7.18
276,Puerto Leguizamo,CO,2021-03-29 22:23:50,-0.1934,-74.7819,79.65,82,64,1.97
277,Wajima,JP,2021-03-29 22:23:50,37.4,136.9,52.14,78,97,7.18
278,Mingoyo,TZ,2021-03-29 22:23:50,-10.1,39.6333,75.2,94,20,12.66
279,Sioux Lookout,CA,2021-03-29 22:23:50,50.1001,-91.917,46.4,49,90,18.41
